t (s) 	m_dot_g_surf (kg/m²/s)	m_dot_c (kg/m²/s)	< 98 % Virgin	> 1.02 % Char	Total recession (m)
19.7	0.0146105	0.0442403	0.0087056	0.00378065	0.00376109
19.8	0.0145968	0.0442451	0.00873521	0.00380053	0.00378099
19.9	0.0145832	0.0442499	0.00876455	0.00382043	0.00380089
20	0.0145697	0.0442547	0.00879513	0.00384032	0.00382079
20.1	0.0145563	0.0442594	0.00882544	0.00386022	0.0038407
20.2	0.014543	0.0442641	0.00885546	0.00388012	0.0038606
20.3	0.0145299	0.0442687	0.00888518	0.00390002	0.00388051
20.4	0.0145169	0.0442733	0.00891462	0.00391992	0.00390043
20.5	0.0145039	0.0442779	0.0089438	0.00393983	0.00392034
20.6	0.014491	0.0442824	0.00897358	0.00395974	0.00394026
20.7	0.0144783	0.0442869	0.00900374	0.00397965	0.00396018
20.8	0.0144657	0.0442914	0.0090336	0.00399956	0.0039801
20.9	0.0144532	0.0442958	0.00906319	0.00401947	0.00400003
21	0.0144407	0.0443002	0.0090925	0.00403939	0.00401995
21.1	0.0144284	0.0443046	0.00912155	0.00405931	0.00403988
21.2	0.0144162	0.0443089	0.00915035	0.00407923	0.00405981
21.3	0.0144041	0.0443132	0.0091804	0.00409916	0.00407975
21.4	0.0143921	0.0443175	0.00921016	0.00411908	0.00409968
21.5	0.0143802	0.0443217	0.00923965	0.00413901	0.00411962
21.6	0.0143683	0.0443259	0.00926888	0.00415894	0.00413956
21.7	0.0143565	0.0443301	0.00929785	0.00417888	0.0041595
21.8	0.0143449	0.0443343	0.00932658	0.00419881	0.00417945
21.9	0.0143333	0.0443384	0.00935542	0.00421875	0.00419939
22	0.0143219	0.0443425	0.00938512	0.00423869	0.00421934
22.1	0.0143105	0.0443466	0.00941456	0.00425863	0.00423929
22.2	0.0142992	0.0443506	0.00944373	0.00427857	0.00425924
22.3	0.0142879	0.0443546	0.00947266	0.00429852	0.0042792
22.4	0.0142768	0.0443586	0.00950135	0.00431846	0.00429915
22.5	0.0142658	0.0443625	0.00952981	0.00433841	0.00431911
22.6	0.0142548	0.0443664	0.00955848	0.00435836	0.00433907
22.7	0.0142439	0.0443704	0.00958789	0.00437832	0.00435904
22.8	0.0142331	0.0443742	0.00961705	0.00439827	0.004379
22.9	0.0142224	0.0443781	0.00964596	0.00441823	0.00439897
23	0.0142117	0.0443819	0.00967464	0.00443819	0.00441893
23.1	0.0142012	0.0443857	0.00970309	0.00445815	0.0044389
23.2	0.0141907	0.0443894	0.00973132	0.00447811	0.00445888
23.3	0.0141803	0.0443932	0.00975962	0.00449808	0.00447885
23.4	0.01417	0.0443969	0.00978879	0.00451804	0.00449883
23.5	0.0141597	0.0444006	0.00981773	0.00453801	0.0045188
23.6	0.0141495	0.0444043	0.00984642	0.00455798	0.00453878
23.7	0.0141395	0.0444079	0.0098749	0.00457796	0.00455877
23.8	0.0141295	0.0444115	0.00990315	0.00459793	0.00457875
23.9	0.0141195	0.0444151	0.0099312	0.00461791	0.00459873
24	0.0141096	0.0444186	0.00995904	0.00463788	0.00461872
24.1	0.0140998	0.0444222	0.00998792	0.00465786	0.00463871
24.2	0.0140901	0.0444257	0.0100167	0.00467784	0.0046587
24.3	0.0140804	0.0444292	0.0100452	0.00469783	0.00467869
24.4	0.0140708	0.0444327	0.0100735	0.00471781	0.00469869
24.5	0.0140612	0.0444361	0.0101016	0.0047378	0.00471868
24.6	0.0140518	0.0444396	0.0101295	0.00475779	0.00473868
24.7	0.0140424	0.0444429	0.0101572	0.00477778	0.00475868
24.8	0.0140331	0.0444463	0.0101853	0.00479777	0.00477868
24.9	0.0140239	0.0444497	0.0102139	0.00481776	0.00479868
25	0.0140147	0.044453	0.0102423	0.00483776	0.00481869
25.1	0.0140055	0.0444563	0.0102705	0.00485775	0.00483869
25.2	0.0139965	0.0444596	0.0102985	0.00487775	0.0048587
25.3	0.0139875	0.0444629	0.0103263	0.00489775	0.00487871
25.4	0.0139785	0.0444662	0.0103539	0.00491776	0.00489872
25.5	0.0139696	0.0444694	0.0103813	0.00493776	0.00491874
25.6	0.0139608	0.0444726	0.0104095	0.00495776	0.00493875
25.7	0.013952	0.0444758	0.0104378	0.00497777	0.00495877
25.8	0.0139433	0.044479	0.0104659	0.00499778	0.00497878
25.9	0.0139347	0.0444821	0.0104938	0.00501779	0.0049988
26	0.0139261	0.0444853	0.0105215	0.0050378	0.00501882
26.1	0.0139176	0.0444884	0.010549	0.00505781	0.00503885
26.2	0.0139091	0.0444915	0.0105764	0.00507783	0.00505887
26.3	0.0139007	0.0444946	0.0106035	0.00509784	0.00507889
26.4	0.0138923	0.0444976	0.0106317	0.00511786	0.00509892
26.5	0.013884	0.0445007	0.0106597	0.00513788	0.00511895
26.6	0.0138758	0.0445037	0.0106876	0.0051579	0.00513898
26.7	0.0138676	0.0445067	0.0107152	0.00517792	0.00515901
26.8	0.0138595	0.0445097	0.0107427	0.00519795	0.00517905
26.9	0.0138513	0.0445126	0.01077	0.00521797	0.00519908
27	0.0138433	0.0445156	0.0107971	0.005238	0.00521912
27.1	0.0138353	0.0445185	0.0108241	0.00525803	0.00523915
27.2	0.0138274	0.0445214	0.010852	0.00527806	0.00525919
27.3	0.0138195	0.0445243	0.0108798	0.00529809	0.00527923
27.4	0.0138117	0.0445272	0.0109074	0.00531812	0.00529927
27.5	0.013804	0.04453	0.0109349	0.00533816	0.00531932
27.6	0.0137962	0.0445329	0.0109621	0.00535819	0.00533936
27.7	0.0137886	0.0445357	0.0109892	0.00537823	0.00535941
27.8	0.0137809	0.0445385	0.0110162	0.00539827	0.00537946
27.9	0.0137734	0.0445413	0.011043	0.00541831	0.00539951
28	0.0137659	0.0445441	0.0110704	0.00543835	0.00541956
28.1	0.0137584	0.0445468	0.011098	0.00545839	0.00543961
28.2	0.013751	0.0445495	0.0111255	0.00547843	0.00545966
28.3	0.0137436	0.0445523	0.0111528	0.00549848	0.00547972
28.4	0.0137363	0.044555	0.0111799	0.00551853	0.00549977
28.5	0.013729	0.0445576	0.0112069	0.00553858	0.00551983
28.6	0.0137218	0.0445603	0.0112337	0.00555863	0.00553989
28.7	0.0137146	0.044563	0.0112603	0.00557868	0.00555995
28.8	0.0137074	0.0445656	0.0112871	0.00559873	0.00558001
28.9	0.0137003	0.0445683	0.0113146	0.00561878	0.00560007
29	0.0136932	0.0445709	0.0113419	0.00563884	0.00562014
29.1	0.0136862	0.0445735	0.0113691	0.00565889	0.0056402
29.2	0.0136793	0.044576	0.011396	0.00567895	0.00566027
29.3	0.0136723	0.0445786	0.0114229	0.00569901	0.00568034
29.4	0.0136655	0.0445812	0.0114496	0.00571907	0.00570041
29.5	0.0136586	0.0445837	0.0114761	0.00573913	0.00572048
29.6	0.0136518	0.0445862	0.0115025	0.00575919	0.00574055
29.7	0.013645	0.0445887	0.0115295	0.00577926	0.00576062
29.8	0.0136383	0.0445912	0.0115567	0.00579932	0.0057807
29.9	0.0136316	0.0445937	0.0115837	0.00581939	0.00580077
30	0.013625	0.0445962	0.0116106	0.00583946	0.00582085
30.1	0.0136184	0.0445986	0.0116373	0.00585952	0.00584093
30.2	0.0136118	0.0446011	0.0116639	0.00587959	0.00586101
30.3	0.0136053	0.0446035	0.0116904	0.00589967	0.00588109
30.4	0.0135988	0.0446059	0.0117167	0.00591974	0.00590117
30.5	0.0135923	0.0446083	0.0117428	0.00593981	0.00592125
30.6	0.0135859	0.0446096	0.0117698	0.00595989	0.00594133
30.7	0.0135795	0.0446107	0.0117968	0.00597996	0.00596142
30.8	0.0135732	0.0446118	0.0118236	0.00600004	0.0059815
30.9	0.0135669	0.044613	0.0118503	0.00602011	0.00600159
31	0.0135606	0.0446141	0.0118768	0.00604019	0.00602168
31.1	0.0135544	0.0446152	0.0119032	0.00606027	0.00604176
31.2	0.0135482	0.0446163	0.0119294	0.00608035	0.00606185
31.3	0.013542	0.0446174	0.0119555	0.00610042	0.00608194
31.4	0.0135359	0.0446185	0.0119815	0.0061205	0.00610203
31.5	0.0135297	0.0446196	0.0120082	0.00614058	0.00612212
31.6	0.0135236	0.0446207	0.012035	0.00616067	0.00614221
31.7	0.0135175	0.0446218	0.0120616	0.00618075	0.0061623
31.8	0.0135115	0.0446229	0.0120881	0.00620083	0.00618239
31.9	0.0135055	0.044624	0.0121145	0.00622091	0.00620248
32	0.0134995	0.044625	0.0121407	0.00624099	0.00622257
32.1	0.0134936	0.0446261	0.0121667	0.00626108	0.00624267
32.2	0.0134877	0.0446272	0.0121927	0.00628116	0.00626276
32.3	0.0134894	0.0446266	0.0122185	0.00630125	0.00628285
32.4	0.0134759	0.0446293	0.0122449	0.00632133	0.00630295
32.5	0.0134701	0.0446303	0.0122715	0.00634142	0.00632305
32.6	0.0134644	0.0446313	0.012298	0.00636151	0.00634314
32.7	0.0134586	0.0446324	0.0123243	0.00638159	0.00636324
32.8	0.0134605	0.0446318	0.0123505	0.00640168	0.00638334
32.9	0.0134472	0.0446344	0.0123765	0.00642177	0.00640343
33	0.0134415	0.0446354	0.0124025	0.00644186	0.00642353
33.1	0.0134359	0.0446364	0.0124283	0.00646195	0.00644363
33.2	0.0134303	0.0446374	0.012454	0.00648204	0.00646373
33.3	0.0134322	0.0446369	0.0124798	0.00650213	0.00648383
33.4	0.0134191	0.0446395	0.0125063	0.00652222	0.00650393
33.5	0.0134136	0.0446405	0.0125326	0.00654231	0.00652403
33.6	0.0134081	0.0446414	0.0125588	0.0065624	0.00654413
33.7	0.0134027	0.0446424	0.0125849	0.0065825	0.00656423
33.8	0.0134047	0.0446419	0.0126108	0.00660259	0.00658434
33.9	0.0133918	0.0446444	0.0126366	0.00662268	0.00660444
34	0.0133864	0.0446453	0.0126623	0.00664278	0.00662454
34.1	0.0133811	0.0446463	0.0126879	0.00666287	0.00664465
34.2	0.0133758	0.0446472	0.0127133	0.00668297	0.00666475
34.3	0.0133779	0.0446467	0.0127394	0.00670307	0.00668486
34.4	0.0133652	0.0446492	0.0127656	0.00672316	0.00670497
34.5	0.01336	0.0446501	0.0127917	0.00674326	0.00672507
34.6	0.0133548	0.044651	0.0128177	0.00676336	0.00674518
34.7	0.0133497	0.0446519	0.0128435	0.00678345	0.00676529
34.8	0.0133519	0.0446514	0.0128692	0.00680355	0.00678539
34.9	0.0133393	0.0446538	0.0128948	0.00682365	0.0068055
35	0.0133342	0.0446547	0.0129203	0.00684375	0.00682561
35.1	0.0133292	0.0446556	0.0129457	0.00686385	0.00684572
35.2	0.0133241	0.0446566	0.012971	0.00688395	0.00686583
35.3	0.0133264	0.044656	0.0129971	0.00690405	0.00688594
35.4	0.0133141	0.0446584	0.0130231	0.00692416	0.00690605
35.5	0.0133091	0.0446593	0.013049	0.00694426	0.00692616
35.6	0.0133042	0.0446602	0.0130747	0.00696436	0.00694628
35.7	0.0132993	0.044661	0.0131004	0.00698446	0.00696639
35.8	0.0133017	0.0446604	0.0131259	0.00700457	0.0069865
