p (bar)	B'g	Temp (K)	B'c	Hw (kJ/kg)
1.01325D-03	2.00000D-02	1.95000E+03	1.71472E-01	6.67458E+02
1.01325D-03	2.00000D-02	1.97500E+03	1.71569E-01	7.10568E+02
1.01325D-03	2.00000D-02	2.00000E+03	1.71671E-01	7.54983E+02
1.01325D-03	2.00000D-02	2.02500E+03	1.71778E-01	8.00773E+02
1.01325D-03	2.00000D-02	2.05000E+03	1.71888E-01	8.47990E+02
1.01325D-03	2.00000D-02	2.07500E+03	1.72001E-01	8.96664E+02
1.01325D-03	2.00000D-02	2.10000E+03	1.72116E-01	9.46798E+02
1.01325D-03	2.00000D-02	2.12500E+03	1.72233E-01	9.98360E+02
1.01325D-03	2.00000D-02	2.15000E+03	1.72351E-01	1.05128E+03
1.01325D-03	2.00000D-02	2.17500E+03	1.72469E-01	1.10546E+03
1.01325D-03	2.00000D-02	2.20000E+03	1.72586E-01	1.16074E+03
1.01325D-03	2.00000D-02	2.22500E+03	1.72703E-01	1.21694E+03
1.01325D-03	2.00000D-02	2.25000E+03	1.72820E-01	1.27385E+03
1.01325D-03	2.00000D-02	2.27500E+03	1.72937E-01	1.33125E+03
1.01325D-03	2.00000D-02	2.30000E+03	1.73058E-01	1.38890E+03
1.01325D-03	2.00000D-02	2.32500E+03	1.73186E-01	1.44662E+03
1.01325D-03	2.00000D-02	2.35000E+03	1.73327E-01	1.50427E+03
1.01325D-03	2.00000D-02	2.37500E+03	1.73490E-01	1.56181E+03
1.01325D-03	2.00000D-02	2.40000E+03	1.73685E-01	1.61932E+03
1.01325D-03	2.00000D-02	2.42500E+03	1.73929E-01	1.67702E+03
1.01325D-03	2.00000D-02	2.45000E+03	1.74242E-01	1.73535E+03
1.01325D-03	2.00000D-02	2.47500E+03	1.74654E-01	1.79496E+03
1.01325D-03	2.00000D-02	2.50000E+03	1.75201E-01	1.85679E+03
1.01325D-03	2.00000D-02	2.52500E+03	1.75934E-01	1.92210E+03
1.01325D-03	2.00000D-02	2.55000E+03	1.76920E-01	1.99259E+03
1.01325D-03	2.00000D-02	2.57500E+03	1.78247E-01	2.07047E+03
1.01325D-03	2.00000D-02	2.60000E+03	1.80036E-01	2.15859E+03
1.01325D-03	2.00000D-02	2.62500E+03	1.82443E-01	2.26070E+03
1.01325D-03	2.00000D-02	2.65000E+03	1.85681E-01	2.38163E+03
