p (Pa)	B'g	B'c	Temp (K)	hw (J/kg)
1.01325E+05	3.00000E+00	2.20022E-02	3.05000E+03	9.92959E+06
1.01325E+05	3.00000E+00	0.00000E+00	3.00000E+03	9.26738E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.95000E+03	8.69635E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.90000E+03	8.18324E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.85000E+03	7.72044E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.80000E+03	7.30131E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.75000E+03	6.92008E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.70000E+03	6.57182E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.65000E+03	6.25222E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.60000E+03	5.95757E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.55000E+03	5.68463E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.50000E+03	5.43056E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.45000E+03	5.19285E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.40000E+03	4.96925E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.35000E+03	4.75779E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.30000E+03	4.55668E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.25000E+03	4.36432E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.20000E+03	4.17927E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.15000E+03	4.00018E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.10000E+03	3.82581E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.05000E+03	3.65492E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.00000E+03	3.48625E+06
1.01325E+05	3.00000E+00	0.00000E+00	1.95000E+03	3.31837E+06
1.01325E+05	3.00000E+00	0.00000E+00	1.90000E+03	3.14953E+06
1.01325E+05	3.00000E+00	0.00000E+00	1.85000E+03	2.97739E+06
1.01325E+05	3.00000E+00	0.00000E+00	1.80000E+03	2.79855E+06
1.01325E+05	3.00000E+00	0.00000E+00	1.75000E+03	2.60777E+06
1.01325E+05	3.00000E+00	0.00000E+00	1.70000E+03	2.39656E+06
1.01325E+05	3.00000E+00	0.00000E+00	1.65000E+03	2.15082E+06
1.01325E+05	3.00000E+00	0.00000E+00	1.60000E+03	1.84941E+06
1.01325E+05	3.00000E+00	0.00000E+00	1.55000E+03	1.47642E+06
1.01325E+05	3.00000E+00	0.00000E+00	1.50000E+03	1.05291E+06
1.01325E+05	3.00000E+00	0.00000E+00	1.45000E+03	6.27910E+05
1.01325E+05	3.00000E+00	0.00000E+00	1.40000E+03	2.31634E+05
1.01325E+05	3.00000E+00	0.00000E+00	1.35000E+03	-1.29054E+05
1.01325E+05	3.00000E+00	0.00000E+00	1.30000E+03	-4.47778E+05
1.01325E+05	3.00000E+00	0.00000E+00	1.25000E+03	-7.01156E+05
1.01325E+05	3.00000E+00	0.00000E+00	1.20000E+03	-8.82933E+05
1.01325E+05	3.00000E+00	0.00000E+00	1.15000E+03	-1.03393E+06
1.01325E+05	3.00000E+00	0.00000E+00	1.10000E+03	-1.18272E+06
1.01325E+05	3.00000E+00	0.00000E+00	1.05000E+03	-1.35493E+06
1.01325E+05	3.00000E+00	0.00000E+00	1.00000E+03	-1.61476E+06
1.01325E+05	3.00000E+00	0.00000E+00	9.50000E+02	-2.07797E+06
1.01325E+05	3.00000E+00	0.00000E+00	9.00000E+02	-2.77641E+06
1.01325E+05	3.00000E+00	0.00000E+00	8.50000E+02	-3.55962E+06
1.01325E+05	3.00000E+00	0.00000E+00	8.00000E+02	-4.24478E+06
1.01325E+05	3.00000E+00	0.00000E+00	7.50000E+02	-4.74875E+06
1.01325E+05	3.00000E+00	0.00000E+00	7.00000E+02	-5.08589E+06
1.01325E+05	3.00000E+00	0.00000E+00	6.50000E+02	-5.31211E+06
1.01325E+05	3.00000E+00	0.00000E+00	6.00000E+02	-5.47573E+06
1.01325E+05	3.00000E+00	0.00000E+00	5.50000E+02	-5.60403E+06
1.01325E+05	3.00000E+00	0.00000E+00	5.00000E+02	-5.71120E+06
1.01325E+05	3.00000E+00	0.00000E+00	4.50000E+02	-5.80531E+06
1.01325E+05	3.00000E+00	0.00000E+00	4.00000E+02	-5.89112E+06
1.01325E+05	3.00000E+00	0.00000E+00	3.50000E+02	-5.97130E+06
1.01325E+05	3.00000E+00	0.00000E+00	3.00000E+02	-6.04730E+06
1.01325E+05	3.00000E+00	0.00000E+00	2.50000E+02	-6.12011E+06
p (Pa)	B'g	B'c	Temp (K)	hw (J/kg)
1.01325E+05	2.00000E+00	2.14796E+01	3.90000E+03	2.93433E+07
1.01325E+05	2.00000E+00	1.05894E+01	3.85000E+03	2.89217E+07
1.01325E+05	2.00000E+00	6.27939E+00	3.80000E+03	2.81345E+07
1.01325E+05	2.00000E+00	4.08521E+00	3.75000E+03	2.70308E+07
1.01325E+05	2.00000E+00	2.81479E+00	3.70000E+03	2.56771E+07
1.01325E+05	2.00000E+00	2.01977E+00	3.65000E+03	2.41515E+07
1.01325E+05	2.00000E+00	1.49554E+00	3.60000E+03	2.25321E+07
1.01325E+05	2.00000E+00	1.13624E+00	3.55000E+03	2.08886E+07
1.01325E+05	2.00000E+00	8.82090E-01	3.50000E+03	1.92758E+07
1.01325E+05	2.00000E+00	6.97124E-01	3.45000E+03	1.77330E+07
1.01325E+05	2.00000E+00	5.58682E-01	3.40000E+03	1.62857E+07
1.01325E+05	2.00000E+00	4.52011E-01	3.35000E+03	1.49478E+07
1.01325E+05	2.00000E+00	3.67290E-01	3.30000E+03	1.37246E+07
1.01325E+05	2.00000E+00	2.97907E-01	3.25000E+03	1.26151E+07
1.01325E+05	2.00000E+00	2.39385E-01	3.20000E+03	1.16135E+07
1.01325E+05	2.00000E+00	1.88704E-01	3.15000E+03	1.07112E+07
1.01325E+05	2.00000E+00	1.43842E-01	3.10000E+03	9.89835E+06
1.01325E+05	2.00000E+00	1.03457E-01	3.05000E+03	9.16448E+06
1.01325E+05	2.00000E+00	6.66738E-02	3.00000E+03	8.49977E+06
1.01325E+05	2.00000E+00	3.29252E-02	2.95000E+03	7.89537E+06
1.01325E+05	2.00000E+00	1.84623E-03	2.90000E+03	7.34360E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.85000E+03	6.90302E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.80000E+03	6.50924E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.75000E+03	6.15209E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.70000E+03	5.82653E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.65000E+03	5.52826E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.60000E+03	5.25360E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.55000E+03	4.99939E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.50000E+03	4.76286E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.45000E+03	4.54162E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.40000E+03	4.33356E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.35000E+03	4.13682E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.30000E+03	3.94973E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.25000E+03	3.77082E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.20000E+03	3.59875E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.15000E+03	3.43231E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.10000E+03	3.27038E+06
